Date,10yr Tbond,2yr Spread,Fedrate,% Change Payrolls,CPI,% Change 12M,Recession
1976-06-01,7.86,0.8,5.48,0.00080693968125883,56.7,0.091204664,0.0
1976-07-01,7.83,0.98,5.31,0.0021543035678291,57.0,0.153168325,0.0
1976-08-01,7.77,1.14,5.29,0.0019736759400103,57.3,0.16932703699999999,0.0
1976-09-01,7.59,1.17,5.25,0.0023587272909766,57.6,0.22697542,0.0
1976-10-01,7.41,1.43,5.02,0.00023782105842888,57.9,0.144671944,0.0
1976-11-01,7.29,1.48,4.95,0.0041170802517801,58.1,0.11245933,0.0
1976-12-01,6.87,1.49,4.65,0.00259222333001,58.4,0.175200098,0.0
1977-01-01,7.21,1.31,4.61,0.00300815433572,58.7,0.011533451,0.0
1977-02-01,7.39,1.3,4.68,0.0036931466104846,59.3,0.0011026010000000001,0.0
1977-03-01,7.46,1.37,4.69,0.0049760458339507,59.6,-0.043249437,0.0
1977-04-01,7.37,1.41,4.73,0.0041405069356563,60.0,-0.031989903,0.0
1977-05-01,7.46,1.21,5.35,0.0044048551292091,60.2,-0.041371126,0.0
1977-06-01,7.28,1.15,5.39,0.0048728194133125,60.5,-0.037120847,0.0
1977-07-01,7.33,1.06,5.42,0.0041945495102318,60.8,-0.045388224000000005,0.0
1977-08-01,7.4,0.79,5.9,0.0029094333244803,61.1,-0.06151786099999999,0.0
1977-09-01,7.34,0.63,6.14,0.0055010532651219,61.3,-0.086389607,0.0
1977-10-01,7.52,0.41,6.47,0.0032083512905234,61.6,-0.108280289,0.0
1977-11-01,7.58,0.44,6.51,0.0044510739856802,62.0,-0.07386687,0.0
1977-12-01,7.69,0.51,6.56,0.0028156297149917,62.3,-0.122189727,0.0
1978-01-01,7.96,0.47,6.7,0.0021798365122616,62.7,-0.13382545699999998,0.0
1978-02-01,8.03,0.46,6.78,0.0041846939499255,63.0,-0.137000769,0.0
1978-03-01,8.04,0.46,6.79,0.006027216650186,63.4,-0.098250885,0.0
1978-04-01,8.15,0.41,6.89,0.0082143692955769,63.9,-0.016490361999999998,0.0
1978-05-01,8.35,0.34,7.36,0.0040272974164945,64.5,0.011584687,0.0
1978-06-01,8.46,0.22,7.6,0.0050977354957288,65.0,-0.05051840900000001,0.0
1978-07-01,8.64,0.15,7.81,0.0029212190914319,65.5,0.018343641,0.0
1978-08-01,8.41,0.04,8.04,0.003199394523187,65.9,0.065203578,0.0
1978-09-01,8.42,-0.15,8.45,0.0015774493330133,66.5,0.060399145999999994,0.0
1978-10-01,8.64,-0.21,8.96,0.0038232843724678,67.1,0.008733745,0.0
1978-11-01,8.81,-0.61,9.76,0.0049456546455046,67.5,-0.0013718670000000001,0.0
1978-12-01,9.01,-0.71,10.03,0.0031677433222839,67.9,0.010564431,0.0
1979-01-01,9.1,-0.76,10.07,0.0015450372726145,68.5,0.11302852,0.0
1979-02-01,9.1,-0.62,10.06,0.0027812809656788,69.2,0.10089280800000001,0.0
1979-03-01,9.12,-0.67,10.09,0.0047611026893493,69.9,0.129951936,0.0
1979-04-01,9.18,-0.6,10.01,-0.00069290001005823,70.6,0.049660235,0.0
1979-05-01,9.25,-0.53,10.24,0.0041602827202881,71.4,0.018745496,0.0
1979-06-01,8.91,-0.31,10.29,0.0035527737250665,72.2,0.074414535,0.0
1979-07-01,8.95,-0.19,10.47,0.0012096595196875,73.0,0.030615116,0.0
1979-08-01,9.03,-0.43,10.94,0.00092000399037875,73.7,0.056738785,0.0
1979-09-01,9.33,-0.73,11.43,0.00029900332225914,74.4,0.064026385,0.0
1979-10-01,10.3,-1.19,13.77,0.0017049165808673,75.2,0.08899543,0.0
1979-11-01,10.65,-1.16,13.18,0.0010167880549508,76.0,0.11423345900000001,0.0
1979-12-01,10.39,-1.0,13.78,0.0010930409724752,76.9,0.11608215599999999,0.0
1980-01-01,10.8,-0.7,13.82,0.0014116816657844,78.0,0.133131067,1.0
1980-02-01,12.41,-1.01,14.13,0.00091409691629956,79.0,0.165950969,1.0
1980-03-01,12.75,-2.13,17.19,0.0012213505276014,80.1,0.004909672,1.0
1980-04-01,11.47,-1.03,17.61,-0.0015935116601095,80.9,0.043554098,1.0
1980-05-01,10.18,0.73,10.98,-0.004722121322194,81.7,0.115762387,1.0
1980-06-01,9.78,1.05,9.47,-0.0035279805352798,82.5,0.10444662199999999,1.0
1980-07-01,10.25,1.22,9.03,-0.0028967492036714,82.6,0.158750159,1.0
1980-08-01,11.1,0.57,9.61,0.0028829029385574,83.2,0.112851572,0.0
1980-09-01,11.51,-0.06,10.87,0.0012652748643159,83.9,0.137707614,0.0
1980-10-01,11.75,-0.34,12.81,0.0030705109019764,84.7,0.224674502,0.0
1980-11-01,12.68,-0.83,15.85,0.0028400928279368,85.6,0.280402428,0.0
1980-12-01,12.84,-1.24,18.9,0.0021598510143586,86.4,0.22931304800000002,0.0
1981-01-01,12.57,-0.69,19.08,0.00098963086768635,87.2,0.12646592199999998,0.0
1981-02-01,13.19,-0.73,15.93,0.00079092197335032,88.0,0.14404473,0.0
1981-03-01,13.12,-0.45,14.7,0.0011525163273146,88.6,0.28680014800000003,0.0
1981-04-01,13.68,-0.47,15.72,0.00080035083872382,89.1,0.222748303,0.0
1981-05-01,14.1,-1.36,18.52,0.00014241425018897,89.7,0.17557161899999998,0.0
1981-06-01,13.47,-1.04,19.1,0.0021249561864704,90.5,0.138497665,0.0
1981-07-01,14.28,-1.07,19.04,0.0012132473494371,91.5,0.073273989,1.0
1981-08-01,14.94,-1.34,17.82,-0.00039300880994749,92.2,0.0033446540000000003,1.0
1981-09-01,15.32,-1.14,15.87,-0.00096106590946322,93.1,-0.076846262,1.0
1981-10-01,15.15,-0.39,15.08,-0.0010603758321764,93.4,-0.04476206,1.0
1981-11-01,13.39,0.51,13.31,-0.0022871525497921,93.8,-0.10629403800000001,1.0
1981-12-01,13.72,0.43,12.37,-0.0030272784108982,94.1,-0.10236945,1.0
1982-01-01,14.59,0.02,13.22,-0.0036305627372243,94.4,-0.073247381,1.0
1982-02-01,14.43,-0.39,14.78,-2.2083586374427e-05,94.7,-0.148895496,1.0
1982-03-01,13.86,-0.33,14.68,-0.001424422777514,94.7,-0.19451323,1.0
1982-04-01,13.87,-0.33,14.94,-0.0031404117920251,95.0,-0.131543384,1.0
1982-05-01,13.62,-0.16,14.45,-0.00047698280643372,95.9,-0.16983478800000001,1.0
1982-06-01,14.3,-0.17,14.15,-0.0026856958948805,97.0,-0.179870526,1.0
1982-07-01,13.95,0.15,12.59,-0.0038279641684749,97.5,-0.200916869,1.0
1982-08-01,13.06,0.74,10.12,-0.0017649490063784,97.7,-0.027075521,1.0
1982-09-01,12.34,0.56,10.31,-0.0020142564596086,97.7,0.035844903,1.0
1982-10-01,10.91,0.72,9.71,-0.0030947602121481,98.1,0.092629079,1.0
1982-11-01,10.55,0.75,9.2,-0.001360972701812,98.0,0.09203108300000001,1.0
1982-12-01,10.54,0.88,8.95,-0.00016894555447931,97.7,0.13768429199999999,0.0
1983-01-01,10.46,1.13,8.68,0.0024670218877787,97.9,0.187981042,0.0
1983-02-01,10.72,1.08,8.51,-0.00082031688953815,98.0,0.26925677800000003,0.0
1983-03-01,10.51,0.85,8.77,0.0019456346930283,98.1,0.312034839,0.0
1983-04-01,10.4,0.83,8.8,0.003075541587159,98.8,0.345108769,0.0
1983-05-01,10.38,0.89,8.63,0.0031332527639765,99.2,0.372574002,0.0
1983-06-01,10.85,0.67,8.98,0.0042055240729999,99.4,0.424890197,0.0
1983-07-01,11.38,0.69,9.37,0.0046211439552993,99.8,0.41737758700000005,0.0
1983-08-01,11.85,0.78,9.56,-0.003405685725975,100.1,0.31890238,0.0
1983-09-01,11.65,0.86,9.45,0.012404442521275,100.4,0.321423813,0.0
1983-10-01,11.54,0.97,9.48,0.0029918791850691,100.8,0.201370703,0.0
1983-11-01,11.69,1.03,9.34,0.0038789335664336,101.1,0.18330759100000002,0.0
1983-12-01,11.83,0.99,9.47,0.0038639455782313,101.4,0.159317672,0.0
1984-01-01,11.67,1.03,9.56,0.0048032093678846,102.1,0.11746181300000001,0.0
1984-02-01,11.84,1.05,9.59,0.0052226646380283,102.6,0.059010302,0.0
1984-03-01,12.32,1.01,9.91,0.002919802054596,102.9,0.039859097999999996,0.0
1984-04-01,12.63,0.94,10.29,0.0038853032784253,103.3,-0.02699862,0.0
1984-05-01,13.41,0.94,10.32,0.0032625383828045,103.5,-0.075705568,0.0
1984-06-01,13.56,0.65,11.06,0.004048970222534,103.7,-0.09020516199999999,0.0
1984-07-01,13.36,0.48,11.23,0.0032811524254067,104.1,-0.076021483,0.0
1984-08-01,12.72,0.29,11.64,0.002563588602053,104.4,0.013773318,0.0
1984-09-01,12.52,0.32,11.3,0.0032831046384376,104.7,0.00018062400000000002,0.0
1984-10-01,12.16,0.56,9.99,0.0029891760362477,105.1,0.015411013999999999,0.0
1984-11-01,11.57,0.92,9.43,0.0036913488586098,105.3,-0.017092313,0.0
1984-12-01,11.5,1.32,8.38,0.0013023275197433,105.5,0.013908837,0.0
1985-01-01,11.38,1.45,8.35,0.0027573433776936,105.7,0.094636803,0.0
1985-02-01,11.51,1.34,8.5,0.0013593159838957,106.3,0.142863088,0.0
1985-03-01,11.86,1.15,8.58,0.0035128441602852,106.8,0.12658124,0.0
1985-04-01,11.43,1.34,8.27,0.0020239152433861,107.0,0.11652568599999999,0.0
1985-05-01,10.85,1.46,7.97,0.0028236361013211,107.2,0.230357583,0.0
1985-06-01,10.16,1.47,7.53,0.0015106050641236,107.5,0.225100193,0.0
1985-07-01,10.31,1.54,7.88,0.0019392770293149,107.7,0.236828813,0.0
1985-08-01,10.33,1.39,7.9,0.0019662461084712,107.9,0.123711686,0.0
1985-09-01,10.37,1.39,7.92,0.0020952575633688,108.1,0.091856109,0.0
1985-10-01,10.24,1.38,7.99,0.0019174868682748,108.5,0.133546506,0.0
1985-11-01,9.78,1.2,8.05,0.0021377744749728,109.0,0.211806738,0.0
1985-12-01,9.26,1.11,8.27,0.0016862549901974,109.5,0.23375432699999998,0.0
1986-01-01,9.19,1.05,8.14,0.0012473506475068,109.9,0.16464878800000002,0.0
1986-02-01,8.7,0.73,7.86,0.0011647692743994,109.7,0.22510655,0.0
1986-03-01,7.78,0.57,7.48,0.00088014810768157,109.1,0.279428195,0.0
1986-04-01,7.3,0.6,6.99,0.0018901489882144,108.7,0.269783881,0.0
1986-05-01,7.71,0.64,6.85,0.0012812622955781,109.0,0.266151504,0.0
1986-06-01,7.8,0.62,6.92,-0.0009370465903595,109.4,0.268101422,0.0
1986-07-01,7.3,0.63,6.56,0.0032070999949574,109.5,0.212485648,0.0
1986-08-01,7.17,0.84,6.17,0.0011560926080444,109.6,0.293325292,0.0
1986-09-01,7.45,1.1,5.89,0.0034743141743985,110.0,0.23935590199999998,0.0
1986-10-01,7.43,1.15,5.85,0.00187123501511,110.2,0.251009947,0.0
1986-11-01,7.25,0.97,6.04,0.0018677400345582,110.4,0.20922712699999998,0.0
1986-12-01,7.11,0.84,6.91,0.0020038282091159,110.8,0.136455687,0.0
1987-01-01,7.08,0.85,6.43,0.0016814414629536,111.4,0.257871992,0.0
1987-02-01,7.25,0.85,6.1,0.0023937702377878,111.8,0.22508073399999998,0.0
1987-03-01,7.25,0.83,6.13,0.00242768953319,112.2,0.19968088899999997,0.0
1987-04-01,8.02,1.0,6.37,0.0033114546676683,112.7,0.202413795,0.0
