Date,Close,1 Month,3 Months,6 Months,12 Months
12/1/1927,17.66,,,,
1/1/1928,17.57,-0.005109293,,,
2/1/1928,17.26,-0.017801217,,,
3/1/1928,19.280001,0.110676655,0.087766146,,
4/1/1928,19.75,0.02408515,0.116960589,,
5/1/1928,20,0.012578782,0.147340588,,
6/1/1928,19.139999,-0.04395194,-0.007288007,0.080478139,
7/1/1928,19.43,0.01503793,-0.016335228,0.100625361,
8/1/1928,20.870001,0.071494506,0.042580495,0.189921083,
9/1/1928,21.139999,0.012854164,0.099386599,0.092098592,
10/1/1928,21.68,0.025223243,0.109571913,0.093236685,
11/1/1928,24.280001,0.113262831,0.151340238,0.193920734,
12/1/1928,24.35,0.002878842,0.141364916,0.240751516,0.321229654
1/1/1929,25.74,0.055514353,0.171656026,0.281227939,0.3818533
2/1/1929,25.59,-0.005844552,0.052548643,0.203888881,0.393809965
3/1/1929,25.530001,-0.00234738,0.047322421,0.188687337,0.280785929
4/1/1929,25.940001,0.015931947,0.007740015,0.179396041,0.272632726
5/1/1929,24.83,-0.043733618,-0.030149051,0.022399592,0.216320326
6/1/1929,27.41,0.098855311,0.07105364,0.118376061,0.359127577
7/1/1929,28.879999,0.052241369,0.107363062,0.115103077,0.396331016
8/1/1929,31.709999,0.093482778,0.244579457,0.214430407,0.418319288
9/1/1929,30.16,-0.050115514,0.095608633,0.166662273,0.35534961
10/1/1929,24.15,-0.222232163,-0.178864899,-0.071501837,0.107894204
11/1/1929,20.92,-0.143578741,-0.415926418,-0.17134696,-0.148947368
12/1/1929,21.450001,0.025019053,-0.340791851,-0.245183218,-0.126807158
1/1/1930,22.790001,0.060597195,-0.057962493,-0.236827392,-0.121724315
2/1/1930,23.280001,0.021272779,0.106889027,-0.309037391,-0.094606984
3/1/1930,24.15,0.036689714,0.118559688,-0.222232163,-0.05556989
4/1/1930,24.9,0.030583423,0.088545916,0.030583423,-0.040918414
5/1/1930,24.49,-0.016602933,0.050670205,0.157559232,-0.013787729
6/1/1930,20.459999,-0.179793159,-0.165812668,-0.04725298,-0.292436199
7/1/1930,21.209999,0.03600101,-0.160395082,-0.071849166,-0.308676558
8/1/1930,21.370001,0.007515395,-0.136276755,-0.08560655,-0.394643941
9/1/1930,18.59,-0.139364314,-0.09584791,-0.261660578,-0.483892741
10/1/1930,16.940001,-0.092946053,-0.224794973,-0.385190055,-0.354606632
11/1/1930,16.379999,-0.033616731,-0.265927099,-0.402203854,-0.244644622
12/1/1930,15.34,-0.065597221,-0.192160006,-0.288007916,-0.335260896
1/1/1931,16.190001,0.053930034,-0.045283919,-0.270078892,-0.341928058
2/1/1931,18.030001,0.107643263,0.095976075,-0.169951023,-0.255557573
3/1/1931,16.690001,-0.077227295,0.084346002,-0.107814004,-0.369474583
4/1/1931,15.09,-0.100777525,-0.070361557,-0.115645475,-0.500835531
5/1/1931,13.02,-0.147545636,-0.325550456,-0.229574381,-0.631778234
6/1/1931,14.83,0.130165519,-0.118157641,-0.03381164,-0.321819555
7/1/1931,13.73,-0.077068936,-0.094449053,-0.16481061,-0.434889502
8/1/1931,13.86,0.009423774,0.062520357,-0.263030099,-0.432981122
9/1/1931,9.71,-0.355850711,-0.423495874,-0.541653515,-0.649467519
10/1/1931,10.43,0.071529987,-0.274896951,-0.369346004,-0.484991479
11/1/1931,9.5,-0.09339447,-0.377715195,-0.315194838,-0.544769219
12/1/1931,8.12,-0.156961644,-0.178826128,-0.602322002,-0.636133642
1/1/1932,7.94,-0.022416879,-0.272772994,-0.547669945,-0.712480554
2/1/1932,8.29,0.043136694,-0.136241829,-0.513957025,-0.776987124
3/1/1932,7.31,-0.125806695,-0.10508688,-0.283913009,-0.825566524
4/1/1932,5.83,-0.226226273,-0.308896275,-0.581669269,-0.951015272
5/1/1932,4.47,-0.265628592,-0.617661561,-0.75390339,-1.069098228
6/1/1932,4.43,-0.008988825,-0.50084369,-0.60593057,-1.208252572
7/1/1932,6.03,0.308347427,0.03373001,-0.275166265,-0.822836209
8/1/1932,8.39,0.33029351,0.629652112,0.011990551,-0.501966473
9/1/1932,8.08,-0.037648648,0.600992288,0.100148599,-0.18376441
10/1/1932,6.96,-0.149212398,0.143432464,0.177162474,-0.404506795
11/1/1932,6.55,-0.060714425,-0.247575471,0.382076641,-0.371826749
12/1/1932,6.92,0.05495072,-0.154976103,0.446016186,-0.159914385
1/1/1933,6.94,0.002886005,-0.0028777,0.140554764,-0.134611501
2/1/1933,5.66,-0.203877882,-0.146041157,-0.393616628,-0.381626077
3/1/1933,5.85,0.033017769,-0.167974108,-0.322950211,-0.222801613
4/1/1933,7.83,0.291520849,0.120660735,0.117783036,0.29494551
5/1/1933,9.64,0.207958599,0.532497216,0.386456059,0.7685327
6/1/1933,10.91,0.123758691,0.623238139,0.45526403,0.901280216
7/1/1933,9.95,-0.092107249,0.239610041,0.360270777,0.50082554
